task,local_question_id,original_question_number,strategy,status,correct,parse_success,number_of_model_calls,prompt_tokens_total,completion_tokens_total,total_tokens_total,latency_seconds_total,energy_joules_total_if_available,tokens_percent_within_question,tokens_percent_within_task_so_far,tokens_percent_within_run_so_far
game24,12,944,greedy_io,success,False,True,1,82,20,102,3.2444,,0.74,0.06,0.06
game24,12,944,greedy_cot,success,False,True,1,120,512,632,11.7231,,4.57,0.39,0.39
game24,12,944,self_consistency_k5,success,False,True,5,600,1457,2057,38.562,,14.86,1.25,1.25
game24,12,944,best_of_n_k5_self_eval,success,False,True,10,2511,1451,3962,57.059,,28.63,2.34,2.34
game24,12,944,zero_shot_tot_k3,success,False,True,8,4096,2992,7088,74.1617,,51.21,4.02,4.02
game24,13,945,greedy_io,success,False,False,1,85,22,107,3.3975,,0.63,0.06,0.06
game24,13,945,greedy_cot,success,False,True,1,123,353,476,8.931,,2.78,0.27,0.27
game24,13,945,self_consistency_k5,success,False,True,5,615,2029,2644,49.0605,,15.46,1.47,1.47
game24,13,945,best_of_n_k5_self_eval,success,False,False,10,2931,1841,4772,61.6907,,27.9,2.59,2.59
game24,13,945,zero_shot_tot_k3,success,False,True,8,5520,3584,9104,83.1989,,53.23,4.71,4.71
game24,14,946,greedy_io,success,False,True,1,82,19,101,3.8269,,0.75,0.05,0.05
game24,14,946,greedy_cot,success,False,True,1,120,512,632,11.2752,,4.71,0.33,0.33
game24,14,946,self_consistency_k5,success,False,True,5,600,1612,2212,41.4806,,16.49,1.13,1.13
game24,14,946,best_of_n_k5_self_eval,success,False,True,10,2113,1057,3170,47.739,,23.63,1.59,1.59
game24,14,946,zero_shot_tot_k3,success,True,True,8,4602,2697,7299,68.6721,,54.41,3.53,3.53
game24,15,947,greedy_io,success,False,True,1,83,20,103,3.1871,,0.66,0.05,0.05
game24,15,947,greedy_cot,success,False,True,1,121,512,633,11.5238,,4.05,0.31,0.31
game24,15,947,self_consistency_k5,success,False,True,5,605,1581,2186,40.1288,,13.98,1.04,1.04
game24,15,947,best_of_n_k5_self_eval,success,False,True,10,2526,1456,3982,55.3356,,25.47,1.86,1.86
game24,15,947,zero_shot_tot_k3,success,False,True,8,5355,3378,8733,79.8124,,55.85,3.93,3.93
game24,16,948,greedy_io,success,False,True,1,83,20,103,3.2989,,0.65,0.05,0.05
game24,16,948,greedy_cot,success,False,True,1,121,371,492,9.1109,,3.09,0.22,0.22
game24,16,948,self_consistency_k5,success,False,True,5,605,1803,2408,45.3579,,15.12,1.07,1.07
game24,16,948,best_of_n_k5_self_eval,success,False,True,10,2985,1914,4899,62.5808,,30.77,2.13,2.13
game24,16,948,zero_shot_tot_k3,success,False,True,8,4796,3223,8019,76.4616,,50.37,3.36,3.36
game24,17,949,greedy_io,success,False,True,1,83,21,104,3.2906,,0.67,0.04,0.04
game24,17,949,greedy_cot,success,False,True,1,121,136,257,4.8737,,1.66,0.11,0.11
game24,17,949,self_consistency_k5,success,False,True,5,605,2182,2787,51.4008,,18.03,1.15,1.15
game24,17,949,best_of_n_k5_self_eval,success,False,True,10,2241,1174,3415,49.1146,,22.1,1.39,1.39
game24,17,949,zero_shot_tot_k3,success,False,True,8,5404,3487,8891,81.5293,,57.53,3.5,3.5
game24,18,950,greedy_io,success,False,True,1,82,19,101,2.9368,,0.78,0.04,0.04
game24,18,950,greedy_cot,success,False,True,1,120,370,490,8.6603,,3.79,0.19,0.19
game24,18,950,self_consistency_k5,success,False,True,5,600,1478,2078,37.9394,,16.09,0.81,0.81
game24,18,950,best_of_n_k5_self_eval,success,False,True,10,2597,1537,4134,56.0127,,32.01,1.59,1.59
game24,18,950,zero_shot_tot_k3,success,False,True,8,3524,2586,6110,65.895,,47.32,2.29,2.29
game24,19,951,greedy_io,success,False,True,1,82,19,101,3.2092,,0.75,0.04,0.04
game24,19,951,greedy_cot,success,False,True,1,120,241,361,7.0568,,2.69,0.14,0.14
game24,19,951,self_consistency_k5,success,False,True,5,600,2128,2728,47.7921,,20.34,1.01,1.01
game24,19,951,best_of_n_k5_self_eval,success,False,True,10,2510,1453,3963,55.0683,,29.55,1.45,1.45
game24,19,951,zero_shot_tot_k3,success,False,True,8,3689,2568,6257,66.6626,,46.66,2.23,2.23
game24,20,952,greedy_io,success,False,True,1,83,21,104,3.2057,,0.86,0.04,0.04
game24,20,952,greedy_cot,success,False,True,1,121,150,271,4.8961,,2.23,0.1,0.1
game24,20,952,self_consistency_k5,success,False,True,5,605,1344,1949,35.4158,,16.07,0.69,0.69
game24,20,952,best_of_n_k5_self_eval,success,False,True,10,2475,1408,3883,54.8364,,32.02,1.36,1.36
game24,20,952,zero_shot_tot_k3,success,True,True,8,3792,2129,5921,58.419,,48.82,2.03,2.03
game24,21,953,greedy_io,success,False,False,1,85,19,104,3.2041,,0.64,0.04,0.04
game24,21,953,greedy_cot,success,False,True,1,123,328,451,8.0272,,2.79,0.15,0.15
game24,21,953,self_consistency_k5,success,True,True,5,615,1602,2217,42.1533,,13.7,0.75,0.75
game24,21,953,best_of_n_k5_self_eval,success,False,True,10,3299,2209,5508,67.6137,,34.03,1.83,1.83
game24,21,953,zero_shot_tot_k3,success,False,True,8,4697,3210,7907,78.0768,,48.85,2.56,2.56
game24,22,954,greedy_io,success,False,True,1,82,20,102,3.2484,,0.79,0.03,0.03
game24,22,954,greedy_cot,success,True,True,1,120,347,467,9.0557,,3.63,0.15,0.15
game24,22,954,self_consistency_k5,success,False,True,5,600,1816,2416,43.5143,,18.8,0.78,0.78
game24,22,954,best_of_n_k5_self_eval,success,False,True,10,2115,1059,3174,48.3846,,24.69,1.01,1.01
game24,22,954,zero_shot_tot_k3,success,True,True,8,3965,2730,6695,70.4861,,52.08,2.08,2.08
game24,23,955,greedy_io,success,False,True,1,84,20,104,2.9938,,0.69,0.03,0.03
game24,23,955,greedy_cot,success,False,True,1,122,212,334,5.963,,2.21,0.1,0.1
game24,23,955,self_consistency_k5,success,False,True,5,610,1700,2310,43.0259,,15.3,0.71,0.71
game24,23,955,best_of_n_k5_self_eval,success,False,True,10,2957,1880,4837,62.2441,,32.03,1.47,1.47
game24,23,955,zero_shot_tot_k3,success,False,True,8,4567,2949,7516,72.2768,,49.77,2.23,2.23
game24,24,956,greedy_io,success,False,True,1,83,21,104,3.3429,,0.67,0.03,0.03
game24,24,956,greedy_cot,success,False,True,1,121,241,362,6.921,,2.33,0.11,0.11
game24,24,956,self_consistency_k5,success,True,True,5,605,1772,2377,42.7227,,15.31,0.7,0.7
game24,24,956,best_of_n_k5_self_eval,success,False,True,10,2774,1704,4478,60.5792,,28.84,1.3,1.3
game24,24,956,zero_shot_tot_k3,success,False,True,8,4799,3409,8208,79.7958,,52.86,2.33,2.33
game24,25,957,greedy_io,success,True,True,1,82,22,104,3.4357,,0.71,0.03,0.03
game24,25,957,greedy_cot,success,True,True,1,120,512,632,11.4403,,4.3,0.18,0.18
game24,25,957,self_consistency_k5,success,False,True,5,600,1413,2013,39.6435,,13.69,0.57,0.57
game24,25,957,best_of_n_k5_self_eval,success,False,True,10,2509,1451,3960,54.2995,,26.93,1.1,1.1
game24,25,957,zero_shot_tot_k3,success,True,True,8,4952,3044,7996,73.9877,,54.38,2.18,2.18
game24,26,958,greedy_io,success,False,True,1,83,22,105,3.1472,,0.7,0.03,0.03
game24,26,958,greedy_cot,success,True,True,1,121,500,621,11.2161,,4.12,0.17,0.17
game24,26,958,self_consistency_k5,success,False,True,5,605,1595,2200,41.4883,,14.6,0.6,0.6
game24,26,958,best_of_n_k5_self_eval,success,False,True,10,2361,1293,3654,54.7184,,24.25,0.98,0.98
game24,26,958,zero_shot_tot_k3,success,False,True,8,5023,3466,8489,82.3635,,56.33,2.22,2.22
game24,27,959,greedy_io,success,False,True,1,83,20,103,3.2915,,0.97,0.03,0.03
game24,27,959,greedy_cot,success,True,True,1,121,153,274,5.2157,,2.59,0.07,0.07
game24,27,959,self_consistency_k5,success,True,True,5,605,1455,2060,38.2299,,19.45,0.54,0.54
game24,27,959,best_of_n_k5_self_eval,success,False,True,10,2229,1160,3389,50.5809,,32.0,0.87,0.87
game24,27,959,zero_shot_tot_k3,success,True,True,8,2823,1942,4765,55.1767,,44.99,1.21,1.21
game24,28,960,greedy_io,success,False,True,1,83,20,103,3.3825,,0.61,0.03,0.03
game24,28,960,greedy_cot,success,False,True,1,121,369,490,9.0898,,2.9,0.12,0.12
game24,28,960,self_consistency_k5,success,False,True,5,605,1462,2067,39.7757,,12.24,0.52,0.52
game24,28,960,best_of_n_k5_self_eval,success,False,True,10,3108,2036,5144,63.9432,,30.45,1.29,1.29
game24,28,960,zero_shot_tot_k3,success,False,True,8,5503,3584,9087,83.5189,,53.8,2.22,2.22
game24,29,961,greedy_io,success,False,True,1,83,20,103,3.2794,,0.67,0.03,0.03
game24,29,961,greedy_cot,success,False,True,1,121,163,284,6.2985,,1.85,0.07,0.07
game24,29,961,self_consistency_k5,success,False,True,5,605,1231,1836,36.1766,,11.98,0.45,0.45
game24,29,961,best_of_n_k5_self_eval,success,False,True,10,2852,1784,4636,62.5166,,30.24,1.11,1.11
game24,29,961,zero_shot_tot_k3,success,True,True,8,5194,3278,8472,78.2081,,55.26,2.0,2.0
game24,30,962,greedy_io,success,False,True,1,84,21,105,2.9031,,0.72,0.02,0.02
game24,30,962,greedy_cot,success,False,True,1,122,170,292,5.9429,,1.99,0.07,0.07
game24,30,962,self_consistency_k5,success,False,True,5,610,1622,2232,41.8586,,15.2,0.52,0.52
game24,30,962,best_of_n_k5_self_eval,success,False,True,10,2742,1665,4407,57.2365,,30.01,1.02,1.02
game24,30,962,zero_shot_tot_k3,success,False,True,8,4784,2864,7648,71.2129,,52.08,1.74,1.74
game24,31,963,greedy_io,success,False,True,1,83,21,104,3.4405,,0.9,0.02,0.02
game24,31,963,greedy_cot,success,True,True,1,121,331,452,8.6848,,3.89,0.1,0.1
game24,31,963,self_consistency_k5,success,True,True,5,605,900,1505,30.6694,,12.96,0.34,0.34
game24,31,963,best_of_n_k5_self_eval,success,False,True,10,2598,1533,4131,57.7796,,35.58,0.93,0.93
game24,31,963,zero_shot_tot_k3,success,False,True,8,3388,2030,5418,58.5807,,46.67,1.2,1.2
game24,32,964,greedy_io,success,False,True,1,83,22,105,3.3337,,0.89,0.02,0.02
game24,32,964,greedy_cot,success,False,True,1,121,123,244,4.5669,,2.07,0.05,0.05
game24,32,964,self_consistency_k5,success,False,True,5,605,2175,2780,50.4463,,23.59,0.61,0.61
game24,32,964,best_of_n_k5_self_eval,success,True,True,10,1966,899,2865,46.0449,,24.31,0.63,0.63
game24,32,964,zero_shot_tot_k3,success,False,True,8,3340,2452,5792,66.8322,,49.14,1.25,1.25
game24,33,965,greedy_io,success,False,True,1,84,21,105,3.3014,,0.8,0.02,0.02
game24,33,965,greedy_cot,success,False,True,1,122,429,551,10.466,,4.21,0.12,0.12
game24,33,965,self_consistency_k5,success,False,True,5,610,1633,2243,43.1248,,17.15,0.48,0.48
game24,33,965,best_of_n_k5_self_eval,success,False,True,10,2211,1130,3341,49.802,,25.54,0.71,0.71
game24,33,965,zero_shot_tot_k3,success,False,True,8,4002,2839,6841,72.5623,,52.3,1.44,1.44
game24,34,966,greedy_io,success,False,True,1,84,24,108,3.7912,,0.8,0.02,0.02
game24,34,966,greedy_cot,success,False,True,1,122,512,634,11.6919,,4.67,0.13,0.13
game24,34,966,self_consistency_k5,success,False,True,5,610,1686,2296,42.5417,,16.91,0.48,0.48
game24,34,966,best_of_n_k5_self_eval,success,False,True,10,2846,1767,4613,61.8656,,33.98,0.95,0.95
game24,34,966,zero_shot_tot_k3,success,True,True,8,3569,2355,5924,61.9974,,43.64,1.21,1.21
game24,35,967,greedy_io,success,False,True,1,83,20,103,3.3288,,0.82,0.02,0.02
game24,35,967,greedy_cot,success,False,True,1,121,402,523,9.6977,,4.17,0.11,0.11
game24,35,967,self_consistency_k5,success,True,True,5,605,959,1564,30.4094,,12.46,0.32,0.32
game24,35,967,best_of_n_k5_self_eval,success,True,True,10,3062,1991,5053,64.947,,40.26,1.02,1.02
game24,35,967,zero_shot_tot_k3,success,False,False,8,3331,1976,5307,56.5892,,42.29,1.06,1.06
game24,36,968,greedy_io,success,False,True,1,82,20,102,3.1679,,0.71,0.02,0.02
game24,36,968,greedy_cot,success,False,True,1,120,257,377,7.5129,,2.62,0.08,0.08
game24,36,968,self_consistency_k5,success,False,True,5,600,1864,2464,45.0708,,17.14,0.49,0.49
game24,36,968,best_of_n_k5_self_eval,success,False,True,10,2824,1767,4591,61.3055,,31.94,0.9,0.9
game24,36,968,zero_shot_tot_k3,success,False,True,8,4143,2697,6840,70.1013,,47.59,1.33,1.33
gsm8k,1,642,greedy_io,success,False,True,1,94,360,454,55.7001,,3.35,100.0,0.09
gsm8k,1,642,greedy_cot,success,False,True,1,132,391,523,8.8079,,3.86,53.53,0.1
gsm8k,1,642,self_consistency_k5,success,False,True,5,660,1471,2131,35.9615,,15.72,68.56,0.41
gsm8k,1,642,best_of_n_k5_self_eval,success,False,True,10,2812,1586,4398,50.5179,,32.44,58.59,0.84
gsm8k,1,642,zero_shot_tot_k3,success,False,True,8,3880,2172,6052,55.839,,44.64,44.64,1.14
gsm8k,2,643,greedy_io,success,True,True,1,115,375,490,8.5415,,2.96,3.49,0.09
gsm8k,2,643,greedy_cot,success,True,True,1,153,393,546,8.8339,,3.3,3.74,0.1
gsm8k,2,643,self_consistency_k5,success,True,True,5,765,2123,2888,46.6764,,17.44,16.52,0.54
gsm8k,2,643,best_of_n_k5_self_eval,success,False,True,10,3316,1879,5195,55.7988,,31.36,22.91,0.96
gsm8k,2,643,zero_shot_tot_k3,success,True,True,8,4753,2692,7445,65.1475,,44.95,24.72,1.36
gsm8k,3,644,greedy_io,success,False,True,1,103,293,396,7.2551,,3.11,1.3,0.07
gsm8k,3,644,greedy_cot,success,True,True,1,141,220,361,6.0124,,2.84,1.17,0.07
gsm8k,3,644,self_consistency_k5,success,True,True,5,705,1171,1876,30.8317,,14.73,5.73,0.34
gsm8k,3,644,best_of_n_k5_self_eval,success,True,True,10,2526,1210,3736,43.9452,,29.34,10.24,0.68
gsm8k,3,644,zero_shot_tot_k3,success,False,True,8,3875,2488,6363,60.0795,,49.98,14.85,1.14
gsm8k,4,645,greedy_io,success,False,True,1,97,23,120,2.8345,,0.83,0.28,0.02
gsm8k,4,645,greedy_cot,success,False,True,1,135,314,449,7.4192,,3.11,1.03,0.08
gsm8k,4,645,self_consistency_k5,success,True,True,5,675,1199,1874,30.9193,,12.99,4.14,0.33
gsm8k,4,645,best_of_n_k5_self_eval,success,True,True,10,2706,1451,4157,47.8251,,28.8,8.41,0.73
gsm8k,4,645,zero_shot_tot_k3,success,False,True,8,4863,2969,7832,68.3164,,54.27,13.67,1.37
gsm8k,5,646,greedy_io,success,True,True,1,83,185,268,5.36,,2.92,0.47,0.05
gsm8k,5,646,greedy_cot,success,True,True,1,121,166,287,5.0598,,3.13,0.5,0.05
gsm8k,5,646,self_consistency_k5,success,True,True,5,605,807,1412,24.8529,,15.4,2.38,0.25
gsm8k,5,646,best_of_n_k5_self_eval,success,True,True,10,2199,1084,3283,41.5468,,35.81,5.25,0.57
gsm8k,5,646,zero_shot_tot_k3,success,True,True,8,2523,1394,3917,42.0854,,42.73,5.89,0.67
gsm8k,6,647,greedy_io,success,True,True,1,92,473,565,9.9098,,4.31,0.84,0.1
gsm8k,6,647,greedy_cot,success,False,True,1,130,220,350,5.9099,,2.67,0.52,0.06
gsm8k,6,647,self_consistency_k5,success,True,True,5,650,1105,1755,29.4795,,13.38,2.54,0.3
gsm8k,6,647,best_of_n_k5_self_eval,success,False,True,10,2469,1269,3738,44.7732,,28.5,5.13,0.63
gsm8k,6,647,zero_shot_tot_k3,success,True,True,8,4420,2290,6710,56.9069,,51.15,8.43,1.13
gsm8k,7,648,greedy_io,success,True,True,1,104,302,406,7.24,,3.17,0.51,0.07
gsm8k,7,648,greedy_cot,success,True,True,1,142,389,531,8.5915,,4.15,0.66,0.09
gsm8k,7,648,self_consistency_k5,success,True,True,5,710,1734,2444,39.6169,,19.09,2.95,0.41
gsm8k,7,648,best_of_n_k5_self_eval,success,True,True,10,2471,1141,3612,42.7668,,28.22,4.17,0.6
gsm8k,7,648,zero_shot_tot_k3,success,True,True,8,3824,1983,5807,51.9435,,45.37,6.29,0.95
gsm8k,8,649,greedy_io,success,True,True,1,117,174,291,5.2117,,2.93,0.31,0.05
gsm8k,8,649,greedy_cot,success,True,True,1,155,179,334,5.2768,,3.37,0.36,0.05
gsm8k,8,649,self_consistency_k5,success,True,True,5,775,874,1649,25.9691,,16.63,1.74,0.27
gsm8k,8,649,best_of_n_k5_self_eval,success,True,True,10,2238,783,3021,36.9152,,30.46,3.09,0.49
gsm8k,8,649,zero_shot_tot_k3,success,True,True,8,3049,1573,4622,45.2033,,46.61,4.52,0.75
gsm8k,9,650,greedy_io,success,False,True,1,113,243,356,6.2571,,2.94,0.35,0.06
gsm8k,9,650,greedy_cot,success,False,True,1,151,275,426,6.8236,,3.51,0.41,0.07
gsm8k,9,650,self_consistency_k5,success,False,True,5,755,1391,2146,34.1417,,17.7,2.04,0.35
gsm8k,9,650,best_of_n_k5_self_eval,success,False,True,10,2711,1292,4003,45.3254,,33.02,3.67,0.64
gsm8k,9,650,zero_shot_tot_k3,success,False,True,8,3243,1950,5193,51.2012,,42.83,4.54,0.82
gsm8k,10,651,greedy_io,success,False,True,1,144,329,473,7.6666,,2.94,0.41,0.07
gsm8k,10,651,greedy_cot,success,True,True,1,182,363,545,8.2463,,3.39,0.47,0.09
gsm8k,10,651,self_consistency_k5,success,True,True,5,910,1494,2404,35.753,,14.93,2.04,0.38
gsm8k,10,651,best_of_n_k5_self_eval,success,True,True,10,3615,1888,5503,55.0549,,34.18,4.46,0.86
gsm8k,10,651,zero_shot_tot_k3,success,True,True,8,4565,2610,7175,62.1742,,44.57,5.5,1.11
gsm8k,11,652,greedy_io,success,True,True,1,119,394,513,8.7341,,3.4,0.39,0.08
gsm8k,11,652,greedy_cot,success,True,True,1,157,432,589,9.3214,,3.9,0.45,0.09
gsm8k,11,652,self_consistency_k5,success,True,True,5,785,1876,2661,41.774,,17.61,1.98,0.41
gsm8k,11,652,best_of_n_k5_self_eval,success,False,True,10,2840,1366,4206,46.3418,,27.84,3.04,0.64
gsm8k,11,652,zero_shot_tot_k3,success,False,True,8,4651,2489,7140,60.4729,,47.26,4.9,1.08
gsm8k,12,653,greedy_io,success,False,True,1,96,7,103,2.5573,,0.86,0.07,0.02
gsm8k,12,653,greedy_cot,success,False,True,1,134,209,343,5.8301,,2.85,0.23,0.05
gsm8k,12,653,self_consistency_k5,success,False,True,5,670,1273,1943,32.2721,,16.16,1.31,0.29
gsm8k,12,653,best_of_n_k5_self_eval,success,False,True,10,2611,1365,3976,46.3847,,33.08,2.62,0.6
gsm8k,12,653,zero_shot_tot_k3,success,False,True,8,3630,2026,5656,52.491,,47.05,3.59,0.84
gsm8k,13,654,greedy_io,success,False,True,1,117,256,373,6.5267,,3.03,0.24,0.06
gsm8k,13,654,greedy_cot,success,False,True,1,155,225,380,6.041,,3.09,0.24,0.06
gsm8k,13,654,self_consistency_k5,success,True,True,5,775,1034,1809,28.486,,14.71,1.13,0.27
gsm8k,13,654,best_of_n_k5_self_eval,success,True,True,10,2964,1509,4473,48.9674,,36.37,2.72,0.66
gsm8k,13,654,zero_shot_tot_k3,success,False,True,8,3467,1795,5262,48.8917,,42.79,3.1,0.77
gsm8k,14,655,greedy_io,success,True,True,1,101,260,361,6.5724,,2.97,0.21,0.05
gsm8k,14,655,greedy_cot,success,True,True,1,139,282,421,6.9547,,3.47,0.25,0.06
gsm8k,14,655,self_consistency_k5,success,True,True,5,695,1275,1970,32.4161,,16.23,1.14,0.29
gsm8k,14,655,best_of_n_k5_self_eval,success,True,True,10,2714,1417,4131,47.3174,,34.03,2.34,0.6
gsm8k,14,655,zero_shot_tot_k3,success,True,True,8,3380,1876,5256,50.3152,,43.3,2.89,0.75
gsm8k,15,656,greedy_io,success,True,True,1,82,165,247,5.0495,,2.85,0.14,0.04
gsm8k,15,656,greedy_cot,success,True,True,1,120,115,235,4.2004,,2.71,0.13,0.03
gsm8k,15,656,self_consistency_k5,success,True,True,5,600,755,1355,23.9577,,15.63,0.74,0.19
gsm8k,15,656,best_of_n_k5_self_eval,success,True,True,10,1752,647,2399,34.9202,,27.67,1.29,0.34
gsm8k,15,656,zero_shot_tot_k3,success,True,True,8,2720,1714,4434,47.7755,,51.14,2.32,0.63
gsm8k,16,657,greedy_io,success,False,True,1,99,7,106,2.5496,,0.96,0.06,0.01
gsm8k,16,657,greedy_cot,success,True,True,1,137,253,390,6.505,,3.55,0.2,0.06
gsm8k,16,657,self_consistency_k5,success,False,True,5,685,1009,1694,28.2954,,15.41,0.88,0.24
gsm8k,16,657,best_of_n_k5_self_eval,success,True,True,10,2765,1488,4253,48.8386,,38.7,2.16,0.6
gsm8k,16,657,zero_shot_tot_k3,success,True,True,8,2922,1626,4548,46.3119,,41.38,2.25,0.63
gsm8k,17,658,greedy_io,success,False,True,1,116,293,409,7.1008,,2.63,0.2,0.06
gsm8k,17,658,greedy_cot,success,False,True,1,154,245,399,6.44,,2.57,0.2,0.06
gsm8k,17,658,self_consistency_k5,success,False,True,5,770,1692,2462,38.8837,,15.86,1.2,0.34
gsm8k,17,658,best_of_n_k5_self_eval,success,True,True,10,3094,1647,4741,51.2749,,30.54,2.26,0.65
gsm8k,17,658,zero_shot_tot_k3,success,False,True,8,4806,2708,7514,63.8745,,48.4,3.46,1.02
gsm8k,18,659,greedy_io,success,False,True,1,119,294,413,6.9268,,2.66,0.19,0.06
gsm8k,18,659,greedy_cot,success,True,True,1,157,246,403,6.3806,,2.6,0.18,0.05
gsm8k,18,659,self_consistency_k5,success,True,True,5,785,1660,2445,38.5544,,15.76,1.11,0.33
gsm8k,18,659,best_of_n_k5_self_eval,success,True,True,10,3210,1734,4944,52.3643,,31.88,2.19,0.67
